Company Name,Contact Name,Industry,City,Phone,Email,Website,Address,Employees,Rating,Reviews,Score,Priority,Status,Date Added,Last Contact,Next Action,Next Action Date,Notes,Email Sent,Response Received,Meeting Booked,Deal Value,Deal Status
Betty's Air Services,Betty Thomas,HVAC,Miami,305-303-7919,betty.thomas@bettysairservices.com,https://bettysairservices.com,"2708 Las Olas, Miami, FL",42,4.1,17,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Susan's Climate Control,Susan Jones,HVAC,Miami,305-463-7503,susan.jones@susansclimatecontrol.com,https://susansclimatecontrol.com,"8400 Biscayne Blvd, Miami, FL",11,3.8,102,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
James's Cooling Services,James Martinez,HVAC,Miami,305-260-3931,james.martinez@jamesscoolingservices.com,https://jamesscoolingservices.com,"1010 Biscayne Blvd, Miami, FL",47,4.2,51,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Jennifer's HVAC Solutions,Jennifer Gonzalez,HVAC,Fort Lauderdale,954-630-6127,jennifer.gonzalez@jennifershvacsolutions.com,https://jennifershvacsolutions.com,"1434 Ocean Dr, Fort Lauderdale, FL",25,3.5,60,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
John's Climate Control,John Gonzalez,HVAC,Fort Lauderdale,954-860-7095,john.gonzalez@johnsclimatecontrol.com,https://johnsclimatecontrol.com,"9211 Biscayne Blvd, Fort Lauderdale, FL",40,4.8,110,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Sarah's Climate Control,Sarah Taylor,HVAC,Fort Lauderdale,954-939-2037,sarah.taylor@sarahsclimatecontrol.com,https://sarahsclimatecontrol.com,"3096 Biscayne Blvd, Fort Lauderdale, FL",45,4.8,175,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Linda's Air Conditioning,Linda Davis,HVAC,Fort Lauderdale,954-412-4643,linda.davis@lindasairconditioning.com,https://lindasairconditioning.com,"5582 Main St, Fort Lauderdale, FL",26,3.5,108,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Jessica's Air Conditioning,Jessica Rodriguez,HVAC,West Palm Beach,561-850-9114,jessica.rodriguez@jessicasairconditioning.com,https://jessicasairconditioning.com,"1907 Atlantic Ave, West Palm Beach, FL",17,4.1,199,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Patricia's HVAC Solutions,Patricia Smith,HVAC,West Palm Beach,561-899-8621,patricia.smith@patriciashvacsolutions.com,https://patriciashvacsolutions.com,"5393 Las Olas, West Palm Beach, FL",43,4.9,94,6,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Robert's Climate Control,Robert Wilson,HVAC,West Palm Beach,561-832-5469,robert.wilson@robertsclimatecontrol.com,https://robertsclimatecontrol.com,"8203 Biscayne Blvd, West Palm Beach, FL",47,3.6,175,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Maria's Air Services,Maria Wilson,HVAC,West Palm Beach,561-677-6410,maria.wilson@mariasairservices.com,https://mariasairservices.com,"1168 Atlantic Ave, West Palm Beach, FL",46,3.6,144,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Betty's Legal Services,Betty Williams,Legal,Miami,305-817-7784,betty.williams@bettyslegalservices.com,https://bettyslegalservices.com,"5559 Atlantic Ave, Miami, FL",43,3.7,142,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Robert's Law Group,Robert Jones,Legal,Miami,305-317-5284,robert.jones@robertslawgroup.com,https://robertslawgroup.com,"4134 Ocean Dr, Miami, FL",33,4.5,184,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
James's Law Group,James Taylor,Legal,Fort Lauderdale,954-753-6946,james.taylor@jamesslawgroup.com,https://jamesslawgroup.com,"2611 Biscayne Blvd, Fort Lauderdale, FL",21,4.7,137,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Karen's Legal Services,Karen Thomas,Legal,Fort Lauderdale,954-358-2634,karen.thomas@karenslegalservices.com,https://karenslegalservices.com,"3358 Ocean Dr, Fort Lauderdale, FL",16,5.0,203,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Karen's Law Group,Karen Johnson,Legal,Fort Lauderdale,954-829-9573,karen.johnson@karenslawgroup.com,https://karenslawgroup.com,"8495 Las Olas, Fort Lauderdale, FL",23,4.3,146,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
William's Attorneys at Law,William Smith,Legal,Fort Lauderdale,954-552-9548,william.smith@williamsattorneysatlaw.com,https://williamsattorneysatlaw.com,"5669 Ocean Dr, Fort Lauderdale, FL",28,4.1,204,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Sandra's Legal Associates,Sandra Wilson,Legal,Boca Raton,561-338-9781,sandra.wilson@sandraslegalassociates.com,https://sandraslegalassociates.com,"4130 Atlantic Ave, Boca Raton, FL",14,4.7,128,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Betty's Attorneys at Law,Betty Gonzalez,Legal,Boca Raton,561-800-4639,betty.gonzalez@bettysattorneysatlaw.com,https://bettysattorneysatlaw.com,"6009 Main St, Boca Raton, FL",15,4.2,197,8,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Lisa's Law Group,Lisa Taylor,Legal,Boca Raton,561-493-2714,lisa.taylor@lisaslawgroup.com,https://lisaslawgroup.com,"3896 Atlantic Ave, Boca Raton, FL",24,4.0,38,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Patricia's Attorneys at Law,Patricia Jackson,Legal,Boca Raton,561-885-6595,patricia.jackson@patriciasattorneysatlaw.com,https://patriciasattorneysatlaw.com,"6240 Biscayne Blvd, Boca Raton, FL",46,4.1,189,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Karen's Financial Services,Karen Smith,Accounting,Miami,305-423-3883,karen.smith@karensfinancialservices.com,https://karensfinancialservices.com,"1646 Atlantic Ave, Miami, FL",17,4.6,31,7,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
Susan's Accounting,Susan Anderson,Accounting,Miami,305-707-3693,susan.anderson@susansaccounting.com,https://susansaccounting.com,"5577 Main St, Miami, FL",15,3.8,33,5,medium,new,2026-03-22,,Send initial email,2026-03-23,,No,No,No,,
